집계년도,시군명,시설명,소유기관명,운영조직명,관리주체명,준공연도,부지면적(㎡),건축면적(㎡),연면적(㎡),트랙바닥재료명,트랙주로연장(m),트랙주로수,필드바닥재료명,필드폭(m),필드길이(m),관람석좌석수,수용인원수(명),좌석형태명,연락처,홈페이지주소,건설사업비(백만원),비고사항,소재지우편번호,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도
2023,가평군,가평종합운동장,가평군,시설관리공단,시설관리공단,2020,62903,3813,3069,우레탄,400,8,인조잔디,68,105,4293,5000,계단식+토성잔디,,,4890,,12416,경기도 가평군 가평읍 대곡리 316번지,경기도 가평군 가평읍 문화로 131,37.8254172818,127.5069769031
2023,고양시,고양종합운동장,고양시,고양도시관리공사,고양도시관리공사,2003,305350,25569,59689,우레탄,400,8,천연잔디,68,105,43000,43000,의자식,,,321800,,10223,경기도 고양시 일산서구 대화동 2320번지,경기도 고양시 일산서구 중앙로 1601,37.6763969939,126.7431481571
2023,고양시,고양종합운동장보조경기장,고양시,고양도시관리공사,고양도시관리공사,2003,305350,675.25,463,우레탄,400,8,천연잔디,68,105,1000,1000,의자식,,,114397,,10223,경기도 고양시 일산서구 대화동 2320번지,경기도 고양시 일산서구 중앙로 1601,37.6763969939,126.7431481571
2023,고양시,덕양 별무리경기장,고양시,고양도시관리공사,고양도시관리공사,2004,164242,1077,1360,천연탄성고무,400,8,인조잔디,64,101,2425,2425,의자식,,,,,10471,경기도 고양시 덕양구 성사동 826번지,경기도 고양시 덕양구 어울림로 33,37.6490659292,126.8354045961
2023,과천시,관문체육공원운동장,과천시,과천도시공사,과천도시공사,2001,179635,578.63,931.3,우레탄,400,8,인조잔디,68,105,5000,6100,목재계단식,,,41300,,13830,경기도 과천시 관문동 3번지,경기도 과천시 중앙로 294,37.4414433401,126.9962997527
2023,광명시,노온정수장 다목적운동장,광명시,광명도시공사,광명도시공사,2010,34010,,,몬도,400,8,인조잔디,68,105,1000,1000,,,,,,14302,경기도 광명시 노온사동 2-1번지,,37.4496182433,126.8565943367
2023,광주시,광주시 공설운동장,광주시,위탁(광주도시관리공사),위탁(광주도시관리공사),2006,31667,,,몬도,400,5,인조잔디,64,104,10000,10000,계단식,,,2798,,12755,경기도 광주시 경안동 123-4번지,경기도 광주시 파발로 176,37.4149442907,127.2517694589
2023,군포시,복합생활스포츠타운운동장,군포시,군포도시공사,군포도시공사,2014,80680,,,복합탄성고무,343,,인조잔디,58,90,562,562,,,,5815,,15874,경기도 군포시 부곡동 1226번지,경기도 군포시 군포로 339,37.3387593760,126.9364765931
2023,군포시,시민체육광장운동장,군포시,군포도시공사,군포도시공사,2003,81985,,,우레탄,400,,인조잔디,70,105,1248,1300,의자식,,,1600,,15862,경기도 군포시 금정동 871번지,,37.3548369375,126.9377339878
2023,김포시,김포시 종합운동장,김포시,위탁(김포도시공사),위탁(김포도시공사),1993,32573,3502,3818,쳔연탄성고무,400,8,인조잔디,68,105,5068,10000,계단식,,,11105,,10110,경기도 김포시 사우동 290번지,경기도 김포시 돌문로15번길 20,37.6185971083,126.7185679471
2023,남양주시,남양주시 종합운동장보조경기장,남양주시,남양주 도시공사,남양주 도시공사,2003,22911,528,576,몬도,400,8,인조잔디,68,105,2901,7000,"의자식,토성잔디",,,,,12244,경기도 남양주시 이패동 산87,,37.6099045061,127.1756079663
2023,동두천시,동두천시 종합운동장,동두천시,동두천시,동두천시,2001,128580,6633,6633,우레탄,400,8,인조잔디,68,105,13983,20000,계단식,,,3481,,11320,경기도 동두천시 생연동 70,,37.8996962153,127.0708110423
2023,부천시,부천종합운동장,부천시,부천도시공사,부천도시공사,2001,584294,53145.23,62476,몬도,400,8,천연잔디,70,110,35000,35000,의자식,,,,,14655,경기도 부천시 원미구 춘의동 8번지,경기도 부천시 원미구 소사로 482,37.5021352108,126.7989556982
