연번,위치,도로명주소,면적(제곱미터),위도,경도
1,도화초등학교,인천광역시 미추홀구 경인로 242,415,37.46314321,126.667845
2,인천광역시대중예술고등학교,인천광역시 미추홀구 석정로 165,2050,37.47395988,126.6519987
3,선인고등학교,인천광역시 미추홀구 석정로 165,370,37.47395988,126.6519987
4,선인고등학교,인천광역시 미추홀구 석정로 165,868,37.47395988,126.6519987
5,선인고등학교,인천광역시 미추홀구 석정로 165,2559,37.47395988,126.6519987
6,선인중학교,인천광역시 미추홀구 석정로 165,1225,37.47395988,126.6519987
7,선인중학교,인천광역시 미추홀구 석정로 165,1290,37.47395988,126.6519987
8,선화여자중학교,인천광역시 미추홀구 석정로 165,700,37.47395988,126.6519987
9,선화여자중학교,인천광역시 미추홀구 석정로 165,688,37.47395988,126.6519987
10,대화초등학교,인천광역시 미추홀구 석정로301번길 13,2721,37.46901872,126.6685307
11,대화초등학교,인천광역시 미추홀구 석정로301번길 13,1394,37.46901872,126.6685307
12,대화초등학교,인천광역시 미추홀구 석정로301번길 13,1365,37.46901872,126.6685307
13,인천광역시대학교,인천광역시 미추홀구 석정로 165,905,37.47395988,126.6519987
14,인화여자고등학교,인천광역시 미추홀구 석정로 165,730,37.47395988,126.6519987
15,인천광역시전자공업고등학교,인천광역시 미추홀구 석정로 165,662,37.47395988,126.6519987
16,서화초등학교,인천광역시 미추홀구 송림로 250,1440,37.47398641,126.6608141
17,서화초등학교,인천광역시 미추홀구 송림로 250,925,37.47398641,126.6608141
18,숭의초등학교,인천광역시 미추홀구 장천로 99,525,37.46371972,126.6557067
19,숭의초등학교,인천광역시 미추홀구 장천로 99,476,37.46371972,126.6557067
20,인천광역시남중학교,인천광역시 미추홀구 수봉로 16-23,725,37.46379213,126.6539999
21,용현초등학교,인천광역시 미추홀구 낙섬동로 83,1050,37.45317935,126.6408079
22,용현여자중학교,인천광역시 미추홀구 낙섬동로 28 ,682,37.44840638,126.6406704
23,용현중학교,인천광역시 미추홀구 낙섬동로 16 ,510,37.44785505,126.6395478
24,용현남초등학교,인천광역시 미추홀구 매소홀로 133,2280,37.4478941,126.64196
25,인항고등학교,인천광역시 미추홀구 매소홀로 135 ,400,37.44681429,126.6407581
26,인천광역시기계공업고교,인천광역시 미추홀구 한나루로 545,1900,37.45685643,126.6683566
27,인천광역시기계공업고교,인천광역시 미추홀구 한나루로 545,740,37.45685643,126.6683566
28,인천광역시고등학교,인천광역시 미추홀구 경원대로 804,1200,37.45295893,126.6913054
29,인천광역시고등학교,인천광역시 미추홀구 경원대로 804,560,37.45295893,126.6913054
30,주안초등학교,인천광역시 미추홀구 남주길69번길 16,950,37.45465257,126.6738992
31,석암초등학교,인천광역시 미추홀구 주안동로 46,1092,37.46235,126.6867275
32,남부초등학교,인천광역시 미추홀구 인주대로366번길 22,130,37.45032964,126.6758729
33,남부초등학교,인천광역시 미추홀구 인주대로366번길 22,350,37.45032964,126.6758729
34,주안남초등학교,인천광역시 미추홀구 인주대로434번길 11,240,37.44955342,126.6850024
35,제물포여중,인천광역시 미추홀구 인주대로470번길 20,600,37.44914564,126.6882045
36,제물포여중,인천광역시 미추홀구 인주대로470번길 20,570,37.44914564,126.6882045
37,학익고등학교,인천광역시 미추홀구 한나루로358번길 23-22,1200,37.43903057,126.6633844
38,학익고등학교,인천광역시 미추홀구 한나루로358번길 23-22,154,37.43903057,126.6633844
39,인주중학교,인천광역시 미추홀구 매소홀로 335,180,37.442798,126.6598715
40,인주중학교,인천광역시 미추홀구 매소홀로 335,1064,37.442798,126.6598715
41,백학초등학교,인천광역시 미추홀구 매소홀로446번길 25,465,37.43892166,126.671948
42,남인천광역시고등학교,인천광역시 미추홀구 매소홀로418번길 14-57,400,37.43866722,126.6668301
43,학익여자고등학교,인천광역시 미추홀구 주승로52번길 8 ,700,37.44381933,126.6753901
44,인주초등학교,인천광역시 미추홀구 매소홀로475번길 53,950,37.44238998,126.6737257
45,인주초등학교,인천광역시 미추홀구 매소홀로475번길 53,124,37.44238998,126.6737257
46,연학초등학교,인천광역시 미추홀구 주승로 20,750,37.44356467,126.6719174
47,인하사대부속중학교,인천광역시 미추홀구 재넘이길123번길 29,817,37.44596571,126.6628662
48,"남인천광역시여중,관교초교",인천광역시 미추홀구 인하로 426,680,37.44511845,126.6940513
49,관교여자중학교,인천광역시 미추홀구 경원대로 691,200,37.44513573,126.6889705
50,관교중학교,인천광역시 미추홀구 경원대로670번길 19,1211,37.44425703,126.6917774
51,관교중학교,인천광역시 미추홀구 경원대로670번길 19,300,37.44425703,126.6917774
52,문학정보고등학교,인천광역시 미추홀구 소성로350번길 29,1370,37.43549148,126.6866821
53,문학초등학교,인천광역시 미추홀구 매소홀로 553,2681,37.4398904,126.6828332
54,문학초등학교,인천광역시 미추홀구 매소홀로 553,391,37.4398904,126.6828332
55,인화여자중학교,인천광역시 미추홀구 석정로 165,500,37.4739644136398,126.651978806147
